Neighborhood;Median Income;Y;X
Tribeca;170.5;40.718649;74.008769
Battery Park;153.5;40.705372;74.014410
Carnegie Hill;150.5;40.783498;73.955369
N Sutton Area;136.3;40.757554;73.962410
Financial Dist;121.1;40.710181;74.010209
Garment Dist;118.9;40.753523;73.990851
West Village;118.5;40.736238;74.003217
Upper E Side;118.0;40.774038;73.957477
Cobble Hill;115.8;40.687714;73.996764
Murray Hill;114.8;40.749630;73.978007
Greenwich Vlg;114.1;40.733208;73.998145
Upper W Side;102.4;40.789235;73.976437
Chelsea;101.6;40.745766;73.998928
Midtown;100.2;40.759487;73.982809
Gramercy;100.1;40.738217;73.986189
Soho;98.4;40.724523;74.000980
Clinton;81.7;40.762689;73.993165
Morningside Hts;65.7;40.809551;73.959031
East Village;60.8;40.727688;73.985244
Kings Bridge;50.7;40.882613;73.903926
Little Italy;46.7;40.719261;73.997726
Inwood;42.2;40.869502;73.920036
Yorkville;41.9;40.778188;73.948975
Washington Hts;40.4;40.846910;73.937712
Williamsburg;40.0;40.709992;73.953944
Harlem;38.8;40.811701;73.950234
Lower E Side;38.5;40.718894;73.987538
Hamilton Hts;35.9;40.825000;73.949000
Chinatown;34.4;40.716179;74.000900
Univ Hts;31.2;40.858123;73.909290
East Harlem;28.5;40.798030;73.940275
High Bridge;27.3;40.845808;74.932345
Morris Hts;26.1;40.849822;73.919859
Mott Haven;24.9;40.810278;73.925556