Name;nb_gal;Entrance
Spring St;89;Stair
Prince St;85;Stair
5th Av-53rd St;79;Easement
5th Av;78;Easement
Broadway-Lafayette St;65;Stair
68th St-Hunter College;62;Door
Lexington Av;58;Elevator
Canal St (UL);55;Stair
Canal St;51;Elevator
57th St;46;Stair
51st St;42;Easement
Bleecker St;41;Stair
Lexington Av-53rd St;35;Elevator
Bowery;32;Stair
23rd St;31;Easement
Franklin St;30;Stair
6th Av;24;Stair
18th St;22;Stair
Houston St;20;Stair
14th St-Union Square;20;Easement
50th St;19;Elevator
14th St;19;Easement
Union Square;18;Stair
8th St;18;Stair
34th St;18;Elevator
28th St;18;Easement
2nd Av;17;Stair
Astor Place;16;Stair
Delancey St;14;Stair
59th St;14;Elevator
Essex St;13;Stair
West 4th St;12;Elevator
Wall St;12;Easement
Chambers St;12;Stair
Broadway-Nassau;12;Easement
Broad St;11;Easement
59th St-Columbus Circle;11;Stair
33rd St;11;Stair
World Trade Center;10;Stair
Grand Central;10;Escalator
Cortlandt St;10;Easement
Christopher St;10;Stair
47-50th Sts Rockefeller Center;10;Elevator
Grand Central-42nd St;9;Easement
City Hall;9;Stair
3rd Av;9;Stair
Brooklyn Bridge-City Hall;8;Stair
34 St Hudson Yards;8;Elevator
High St;7;Stair
Fulton St;7;Easement